0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,310.968,425.741,2.96,1.88,7.7,10.,0.01,15.5,27.9,10.,100.,50.,16.,32.7,19.,8.,11.
0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,336.489,476.324,2.96,1.96,7.79,10.,0.01,15.5,27.9,10.,100.,50.,16.,32.7,19.,8.,10.
0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,364.941,536.97,2.96,2.54,5.62,10.,0.01,15.5,27.9,10.,100.,50.,16.,32.7,19.,8.,98.
0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,269.518,363.379,2.97,1.94,5.45,10.,0.01,15.5,27.9,5.,80.,50.,16.,32.7,19.,5.5,99.
0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,269.518,363.379,2.97,1.94,5.45,10.,0.1,15.5,27.9,5.,40.,50.,16.,32.7,19.,5.5,98.
0.843,17.5,11.4,27.3,11.3,19.9,744.133,1336.551,212.62,9.532,-0.429,269.518,363.379,2.97,1.94,5.45,48.,0.025,15.5,27.9,9.6,30.,50.,24.,32.7,19.,5.,87.
0.965,14.2,9.5,19.5,20.4,7.3,798.625,1547.045,200.912,3.115,-0.03,314.071,445.678,2.96,1.81,5.61,20.,0.025,15.5,27.9,5.,40.,50.,16.,7.58,20.,10.,98.
0.965,14.2,9.5,19.5,20.4,7.3,798.625,1547.045,200.912,3.115,-0.03,261.139,344.828,2.96,1.88,5.45,20.,0.005,15.9,29.8,1.,40.,50.,16.,6.02,17.1,2.,100.
0.965,14.2,9.5,19.5,20.4,7.3,798.625,1547.045,200.912,3.115,-0.03,348.849,494.32,2.96,1.89,8.21,20.,0.005,15.5,27.9,5.,40.,50.,16.,7.58,20.,10.,94.
0.965,14.2,9.5,19.5,20.4,7.3,798.625,1547.045,200.912,3.115,-0.03,276.698,371.926,2.95,1.89,5.39,20.,0.025,17.,29.4,1.,40.,50.,16.,7.58,20.,10.,100.
0.965,14.2,9.5,19.5,20.4,7.3,798.625,1547.045,200.912,3.115,-0.03,268.708,364.512,2.96,1.77,4.15,20.,0.05,15.5,27.9,10.,40.,50.,16.,7.58,20.,10.,98.
