C001,[RuHexpl][Branch1_1][C][Cl][Branch2_1][Branch1_1][Ring1][P][Branch2_1][Ring1][=N][C][C][NHexpl][Ring1][Branch1_2][C][C][P][Ring1][Branch2_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl],
C002,[Ruexpl][Branch1_1][C][Cl][Branch1_1][C][Cl][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring1][Ring1][C][C][N@@Hexpl][Ring2][Ring1][S][C][C][=C][C][C][=C][N][Ring2][Ring2][Branch1_3][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2],
C003,[RuHexpl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][=C][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][P][Ring1][O][Branch1_1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Branch1_1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C004,[RuHexpl][Branch1_1][C][Cl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][Branch2_1][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_3][Ring1][Branch1_2][C][Nexpl][Ring1][N][Branch1_1][Ring1][C][C][C][C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Cexpl][Oexpl],
C005,[RuHexpl][Branch2_1][Ring2][P][P][Branch2_1][Ring1][O][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][NHexpl][Ring1][O][C][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C006,[RuHexpl][Branch2_1][Ring2][S][P][Branch2_1][Ring1][Branch2_3][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][Branch2_2][Ring1][Branch1_2][C][NHexpl][Ring1][O][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Branch2_2][C][Branch1_1][C][C][Branch1_1][C][C][C][C][Branch1_1][C][C][Branch1_1][C][C][C][Branch1_1][Ring1][Cexpl][Oexpl][Cl],
C007,[RuHexpl][Branch1_1][C][Br][Branch2_1][Branch1_1][Branch2_1][Nexpl][Branch1_1][Ring1][C][C][Branch1_1][Ring1][C][C][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][=C][Ring1][Branch1_2][C][N][C][=C][N][Branch1_1][Branch1_3][C@@Hexpl][Ring2][Ring1][Ring2][Ring1][Branch1_1][C][=C][Branch1_1][N][C][=C][C][=C][Ring1][Branch1_2][C][Branch1_1][C][C][C][C][Branch1_1][C][C][C][Cexpl][Oexpl],
C008,[RuHexpl][Branch2_1][Ring1][=C][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring2][S][P][Branch2_1][Ring1][Branch2_3][C][C][N][Ring2][Ring1][Branch2_1][C@Hexpl][C][=C][Branch1_1][Branch2_3][C][C][=C][N][Ring2][Ring1][#C][Ring1][Branch1_2][C][C][C][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl],
C009,[RuHexpl][Branch2_1][Ring2][=C][P][Branch2_1][Ring1][Branch2_1][C][C][N@@Hexpl][Ring1][Branch1_1][C@Hexpl][C][=C][Branch1_1][Branch2_2][C][C][=C][N][Ring1][N][Ring1][Branch1_2][C][C][C][Ring1][Branch2_3][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Cexpl][Oexpl].[BH4expl],
C010,[Ruexpl][Branch2_1][Branch1_1][S][P][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch2_1][Ring2][Branch2_3][C][C][=C][C][C][=C][Branch1_1][Branch1_2][N][Ring1][#C][Ring1][Branch1_2][C][N@@Hexpl][Ring1][P][C][C][P][Ring2][Ring1][Ring2][Branch1_1][Branch2_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][C][=C][C][=C][C][=C][Ring1][Branch1_2][Branch1_1][C][Cl][Cl],
